customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,SeniorCitizen_label,GrupoEtario,ChurnStatus,Status_evasao
0030-FNXPP,False,Female,False,False,False,3,True,False,No,False,False,False,False,False,False,Month-to-month,False,Mailed check,19.85,57.2,Adulto,Adulto,Inativo,Inativo
0031-PVLZI,True,Female,False,True,True,4,True,False,No,False,False,False,False,False,False,Month-to-month,False,Mailed check,20.35,76.35,Adulto,Adulto,Ativos,Ativos
0032-PGELS,True,Female,False,True,True,1,False,False,DSL,True,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),30.5,30.5,Adulto,Adulto,Ativos,Ativos
0036-IHMOT,False,Female,False,True,True,55,True,False,Fiber optic,False,True,True,True,True,True,One year,True,Bank transfer (automatic),103.7,5656.75,Adulto,Adulto,Inativo,Inativo
0040-HALCW,False,Male,False,True,True,54,True,False,No,False,False,False,False,False,False,Two year,False,Credit card (automatic),20.4,1090.6,Adulto,Adulto,Inativo,Inativo
0042-JVWOJ,False,Male,False,False,False,26,True,False,No,False,False,False,False,False,False,One year,True,Bank transfer (automatic),19.6,471.85,Adulto,Adulto,Inativo,Inativo
0042-RLHYP,False,Female,False,True,True,69,True,False,No,False,False,False,False,False,False,Two year,False,Bank transfer (automatic),19.7,1396.9,Adulto,Adulto,Inativo,Inativo
0047-ZHDTW,False,Female,False,False,False,11,True,True,Fiber optic,True,False,False,False,False,False,Month-to-month,True,Bank transfer (automatic),79.0,929.3,Adulto,Adulto,Inativo,Inativo
0048-LUMLS,False,Male,False,True,True,37,True,False,Fiber optic,False,False,False,False,True,True,One year,False,Credit card (automatic),91.2,3247.55,Adulto,Adulto,Inativo,Inativo
0048-PIHNL,False,Female,False,True,False,49,True,False,No,False,False,False,False,False,False,One year,False,Bank transfer (automatic),20.45,900.9,Adulto,Adulto,Inativo,Inativo
0052-DCKON,False,Male,False,True,False,66,True,True,Fiber optic,True,True,True,True,True,True,One year,False,Bank transfer (automatic),115.8,7942.15,Adulto,Adulto,Inativo,Inativo
0052-YNYOT,False,Female,False,False,False,67,True,False,No,False,False,False,False,False,False,One year,False,Electronic check,20.55,1343.4,Adulto,Adulto,Inativo,Inativo
0056-EPFBG,False,Male,False,True,True,20,False,False,DSL,True,False,True,True,False,False,Two year,True,Credit card (automatic),39.4,825.4,Adulto,Adulto,Inativo,Inativo
0057-QBUQH,False,Female,False,False,True,43,True,True,No,False,False,False,False,False,False,Two year,True,Electronic check,25.1,1070.15,Adulto,Adulto,Inativo,Inativo
0058-EVZWM,False,Female,False,True,False,55,True,True,Fiber optic,True,False,False,False,True,False,Month-to-month,True,Bank transfer (automatic),89.8,4959.6,Adulto,Adulto,Inativo,Inativo
0060-FUALY,False,Female,False,True,False,59,True,True,Fiber optic,True,True,False,False,True,False,Month-to-month,True,Electronic check,94.75,5597.65,Adulto,Adulto,Inativo,Inativo
0064-SUDOG,False,Female,False,True,True,12,True,False,No,False,False,False,False,False,False,Two year,False,Bank transfer (automatic),20.3,224.5,Adulto,Adulto,Inativo,Inativo
0064-YIJGF,False,Male,False,True,True,27,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Bank transfer (automatic),75.75,1929.0,Adulto,Adulto,Inativo,Inativo
0067-DKWBL,True,Male,True,False,False,2,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Electronic check,49.25,91.1,Idoso,Idoso,Ativos,Ativos
0068-FIGTF,False,Female,False,False,False,27,True,False,DSL,False,True,True,True,True,True,One year,False,Mailed check,78.2,2078.95,Adulto,Adulto,Inativo,Inativo
0071-NDAFP,False,Male,False,True,True,25,True,True,No,False,False,False,False,False,False,Two year,False,Credit card (automatic),25.5,630.6,Adulto,Adulto,Inativo,Inativo
0074-HDKDG,False,Male,False,True,True,25,True,False,DSL,True,True,True,False,False,False,One year,True,Bank transfer (automatic),61.6,1611.0,Adulto,Adulto,Inativo,Inativo
0076-LVEPS,False,Male,False,False,True,29,False,False,DSL,True,True,True,True,False,False,Month-to-month,True,Mailed check,45.0,1242.45,Adulto,Adulto,Inativo,Inativo
0078-XZMHT,False,Male,False,True,False,72,True,True,DSL,False,True,True,True,True,True,Two year,True,Bank transfer (automatic),85.15,6316.2,Adulto,Adulto,Inativo,Inativo
0080-EMYVY,False,Female,False,False,False,14,True,False,DSL,False,True,False,False,False,False,One year,False,Credit card (automatic),51.45,727.85,Adulto,Adulto,Inativo,Inativo
0080-OROZO,False,Female,False,False,False,35,True,False,Fiber optic,False,False,True,True,True,True,One year,True,Electronic check,99.25,3532.0,Adulto,Adulto,Inativo,Inativo
0082-LDZUE,False,Male,False,False,False,1,True,False,DSL,False,False,False,False,False,False,Month-to-month,True,Mailed check,44.3,44.3,Adulto,Adulto,Inativo,Inativo
0082-OQIQY,False,Male,False,False,False,29,True,False,Fiber optic,False,False,False,True,True,True,Month-to-month,True,Electronic check,94.2,2607.6,Adulto,Adulto,Inativo,Inativo
0083-PIVIK,False,Male,False,False,False,64,True,True,DSL,True,True,True,True,True,False,One year,False,Electronic check,81.25,5567.55,Adulto,Adulto,Inativo,Inativo
0089-IIQKO,False,Female,False,True,True,39,True,True,Fiber optic,False,False,False,True,True,True,Month-to-month,True,Credit card (automatic),99.95,3767.4,Adulto,Adulto,Inativo,Inativo
0093-EXYQL,False,Female,True,False,False,40,True,False,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,91.55,3673.6,Idoso,Idoso,Inativo,Inativo
0093-XWZFY,True,Male,False,False,False,40,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Credit card (automatic),104.5,4036.85,Adulto,Adulto,Ativos,Ativos
0094-OIFMO,True,Female,True,False,False,11,True,False,Fiber optic,False,True,False,False,True,True,Month-to-month,True,Electronic check,95.0,1120.3,Idoso,Idoso,Ativos,Ativos
0096-BXERS,False,Female,False,True,False,6,True,True,DSL,False,False,False,False,False,False,Month-to-month,False,Electronic check,50.35,314.55,Adulto,Adulto,Inativo,Inativo
0096-FCPUF,False,Male,False,False,False,30,True,True,DSL,True,False,False,False,False,True,Month-to-month,True,Mailed check,64.5,1888.45,Adulto,Adulto,Inativo,Inativo
0098-BOWSO,False,Male,False,False,False,27,True,False,No,False,False,False,False,False,False,Month-to-month,True,Electronic check,19.4,529.8,Adulto,Adulto,Inativo,Inativo
0100-DUVFC,False,Male,True,True,False,70,True,True,Fiber optic,False,True,True,False,True,True,One year,True,Electronic check,104.8,7308.95,Idoso,Idoso,Inativo,Inativo
0103-CSITQ,False,Female,False,True,False,57,True,True,Fiber optic,False,True,True,True,True,True,One year,True,Bank transfer (automatic),109.4,6252.7,Adulto,Adulto,Inativo,Inativo
0104-PPXDV,False,Male,False,True,False,58,True,False,DSL,False,False,True,False,False,False,One year,False,Credit card (automatic),50.3,2878.55,Adulto,Adulto,Inativo,Inativo
0106-GHRQR,False,Male,False,False,False,16,True,True,DSL,False,True,True,False,False,True,Month-to-month,True,Bank transfer (automatic),71.4,1212.1,Adulto,Adulto,Inativo,Inativo
0106-UGRDO,False,Female,False,True,False,69,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Electronic check,116.0,8182.85,Adulto,Adulto,Inativo,Inativo
0107-WESLM,True,Male,False,False,False,1,True,False,No,False,False,False,False,False,False,Month-to-month,True,Electronic check,19.85,19.85,Adulto,Adulto,Ativos,Ativos
0107-YHINA,True,Male,False,False,True,1,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,99.75,99.75,Adulto,Adulto,Ativos,Ativos
0111-KLBQG,False,Male,True,True,True,32,True,False,Fiber optic,False,True,False,False,True,True,Month-to-month,True,Mailed check,93.95,2861.45,Idoso,Idoso,Inativo,Inativo
0112-QAWRZ,False,Male,False,True,True,16,True,True,Fiber optic,False,False,True,False,True,False,Month-to-month,True,Bank transfer (automatic),90.8,1442.2,Adulto,Adulto,Inativo,Inativo
0112-QWPNC,True,Male,False,True,False,49,True,True,DSL,True,False,True,True,True,True,One year,False,Electronic check,84.35,4059.35,Adulto,Adulto,Ativos,Ativos
0114-IGABW,False,Female,False,True,False,71,False,False,DSL,False,True,True,True,True,True,Two year,False,Bank transfer (automatic),58.25,4145.9,Adulto,Adulto,Inativo,Inativo
0114-PEGZZ,False,Female,False,False,False,33,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,False,Electronic check,107.55,3645.5,Adulto,Adulto,Inativo,Inativo
0114-RSRRW,False,Female,False,True,False,10,True,False,No,False,False,False,False,False,False,Month-to-month,True,Bank transfer (automatic),19.95,187.75,Adulto,Adulto,Inativo,Inativo
0115-TFERT,True,Male,False,True,False,21,True,True,Fiber optic,False,True,True,True,True,True,Month-to-month,True,Electronic check,111.2,2317.1,Adulto,Adulto,Ativos,Ativos
0117-LFRMW,True,Male,False,True,True,37,False,False,DSL,True,True,True,False,False,False,Month-to-month,False,Bank transfer (automatic),40.2,1448.8,Adulto,Adulto,Ativos,Ativos
0118-JPNOY,False,Female,True,False,False,26,True,False,Fiber optic,True,False,False,False,True,False,Month-to-month,True,Credit card (automatic),85.8,2193.65,Idoso,Idoso,Inativo,Inativo
0120-YZLQA,False,Male,False,False,False,71,True,False,No,False,False,False,False,False,False,Two year,True,Credit card (automatic),19.9,1355.1,Adulto,Adulto,Inativo,Inativo
0121-SNYRK,False,Male,False,False,False,50,False,False,DSL,True,False,False,True,False,False,One year,True,Mailed check,35.4,1748.9,Adulto,Adulto,Inativo,Inativo
0122-OAHPZ,True,Female,False,False,False,7,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,73.85,511.25,Adulto,Adulto,Ativos,Ativos
0123-CRBRT,False,Female,False,True,True,61,True,True,DSL,True,True,True,True,True,True,Two year,False,Mailed check,88.1,5526.75,Adulto,Adulto,Inativo,Inativo
0125-LZQXK,True,Male,False,False,False,15,True,False,Fiber optic,False,False,True,True,True,True,Month-to-month,True,Electronic check,101.35,1553.95,Adulto,Adulto,Ativos,Ativos
0128-MKWSG,False,Female,False,False,True,26,False,False,DSL,True,False,False,True,False,True,Month-to-month,False,Mailed check,45.8,1147.0,Adulto,Adulto,Inativo,Inativo
0129-KPTWJ,False,Male,False,True,False,72,True,False,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,94.65,6747.35,Adulto,Adulto,Inativo,Inativo
0129-QMPDR,False,Male,False,True,True,44,True,False,No,False,False,False,False,False,False,One year,True,Bank transfer (automatic),20.5,865.05,Adulto,Adulto,Inativo,Inativo
0130-SXOUN,False,Male,False,False,False,66,True,True,Fiber optic,False,True,False,False,False,True,Month-to-month,False,Credit card (automatic),89.4,5976.9,Adulto,Adulto,Inativo,Inativo
0133-BMFZO,True,Female,False,False,False,2,True,False,Fiber optic,True,True,False,True,False,False,Month-to-month,True,Electronic check,86.25,181.65,Adulto,Adulto,Ativos,Ativos
0134-XWXCE,False,Female,True,False,False,44,True,False,DSL,False,False,True,True,True,True,One year,False,Bank transfer (automatic),74.85,3268.05,Idoso,Idoso,Inativo,Inativo
0135-NMXAP,True,Female,False,False,False,12,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Bank transfer (automatic),89.75,1052.4,Adulto,Adulto,Ativos,Ativos
0136-IFMYD,False,Male,True,True,False,69,True,True,Fiber optic,False,True,True,True,True,True,Two year,True,Electronic check,109.95,7634.25,Idoso,Idoso,Inativo,Inativo
0137-OCGAB,True,Female,False,False,False,1,True,True,Fiber optic,False,True,False,False,False,False,Month-to-month,True,Mailed check,80.2,80.2,Adulto,Adulto,Ativos,Ativos
0137-UDEUO,True,Female,False,False,False,3,True,False,No,False,False,False,False,False,False,Month-to-month,False,Mailed check,19.85,63.75,Adulto,Adulto,Ativos,Ativos
0139-IVFJG,False,Female,False,True,False,2,True,False,Fiber optic,True,True,False,False,True,False,Month-to-month,False,Electronic check,90.35,190.5,Adulto,Adulto,Inativo,Inativo
0141-YEAYS,False,Female,True,False,False,27,True,True,Fiber optic,False,True,True,False,False,False,Month-to-month,True,Bank transfer (automatic),86.45,2401.05,Idoso,Idoso,Inativo,Inativo
0142-GVYSN,False,Male,False,False,False,26,True,False,No,False,False,False,False,False,False,Month-to-month,True,Electronic check,20.3,511.25,Adulto,Adulto,Inativo,Inativo
0147-ESWWR,False,Female,True,True,False,39,True,True,Fiber optic,False,False,False,True,True,True,Month-to-month,True,Electronic check,101.25,3949.15,Idoso,Idoso,Inativo,Inativo
0148-DCDOS,True,Male,False,False,False,25,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Bank transfer (automatic),94.7,2362.1,Adulto,Adulto,Ativos,Ativos
0151-ONTOV,True,Female,False,False,False,1,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,False,Mailed check,70.9,70.9,Adulto,Adulto,Ativos,Ativos
0154-QYHJU,False,Male,False,False,False,29,True,False,DSL,True,True,False,True,False,False,One year,True,Electronic check,58.75,1696.2,Adulto,Adulto,Inativo,Inativo
0156-FVPTA,True,Male,False,True,False,22,True,False,DSL,True,False,False,True,False,False,Month-to-month,True,Electronic check,54.2,1152.7,Adulto,Adulto,Ativos,Ativos
0162-RZGMZ,False,Female,True,False,False,5,True,False,DSL,True,True,False,True,False,False,Month-to-month,False,Credit card (automatic),59.9,287.85,Idoso,Idoso,Inativo,Inativo
0164-APGRB,False,Female,False,False,False,72,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Electronic check,114.9,8496.7,Adulto,Adulto,Inativo,Inativo
0164-XAIRP,False,Female,False,False,False,24,True,False,No,False,False,False,False,False,False,Two year,True,Bank transfer (automatic),19.55,470.2,Adulto,Adulto,Inativo,Inativo
0168-XZKBB,False,Female,False,True,False,19,True,True,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,86.85,1564.4,Adulto,Adulto,Inativo,Inativo
0174-QRVVY,False,Male,False,True,True,71,True,True,No,False,False,False,False,False,False,Two year,False,Credit card (automatic),25.35,1847.55,Adulto,Adulto,Inativo,Inativo
0177-PXBAT,False,Male,True,True,False,33,True,True,Fiber optic,True,False,True,True,True,True,Month-to-month,True,Bank transfer (automatic),109.9,3694.7,Idoso,Idoso,Inativo,Inativo
0178-CIIKR,False,Female,False,False,False,3,True,False,No,False,False,False,False,False,False,Month-to-month,False,Mailed check,19.95,58.0,Adulto,Adulto,Inativo,Inativo
0178-SZBHO,False,Male,False,True,True,47,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,False,Electronic check,87.2,4017.45,Adulto,Adulto,Inativo,Inativo
0181-RITDD,False,Male,False,True,True,62,True,False,Fiber optic,True,True,True,True,True,True,Two year,False,Mailed check,108.15,6825.65,Adulto,Adulto,Inativo,Inativo
0186-CAERR,False,Male,False,False,False,71,True,True,Fiber optic,True,True,True,True,True,True,One year,True,Bank transfer (automatic),116.3,8309.55,Adulto,Adulto,Inativo,Inativo
0187-QSXOE,False,Male,True,True,False,7,True,False,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,89.0,605.45,Idoso,Idoso,Inativo,Inativo
0187-WZNAB,False,Female,False,True,True,27,True,False,Fiber optic,True,False,False,False,False,False,Month-to-month,False,Mailed check,74.4,1972.35,Adulto,Adulto,Inativo,Inativo
0188-GWFLE,False,Male,False,False,False,2,True,False,No,False,False,False,False,False,False,Month-to-month,False,Mailed check,20.05,33.7,Adulto,Adulto,Inativo,Inativo
0191-EQUUH,False,Female,False,False,True,25,False,False,DSL,True,False,False,True,False,False,Two year,False,Bank transfer (automatic),35.05,844.45,Adulto,Adulto,Inativo,Inativo
0191-ZHSKZ,False,Male,True,False,False,30,True,False,DSL,True,True,False,False,True,True,Month-to-month,True,Electronic check,74.75,2111.3,Idoso,Idoso,Inativo,Inativo
0193-ESZXP,True,Female,True,True,False,58,True,False,Fiber optic,True,True,False,True,True,True,One year,True,Credit card (automatic),105.5,6205.5,Idoso,Idoso,Ativos,Ativos
0195-IESCP,True,Male,False,True,False,10,True,True,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Electronic check,85.25,855.3,Adulto,Adulto,Ativos,Ativos
0196-JTUQI,False,Female,False,False,False,9,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Credit card (automatic),75.2,633.85,Adulto,Adulto,Inativo,Inativo
0196-VULGZ,True,Female,True,True,False,6,True,True,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Electronic check,84.35,474.9,Idoso,Idoso,Ativos,Ativos
0197-PNKNK,False,Female,False,True,True,69,True,True,Fiber optic,True,False,True,False,False,False,One year,False,Bank transfer (automatic),84.45,5848.6,Adulto,Adulto,Inativo,Inativo
0201-MIBOL,False,Female,True,False,False,66,True,True,Fiber optic,True,False,False,False,True,True,Two year,True,Bank transfer (automatic),102.4,6471.85,Idoso,Idoso,Inativo,Inativo
0201-OAMXR,True,Female,False,False,False,70,True,True,Fiber optic,True,True,True,True,True,True,One year,False,Credit card (automatic),115.55,8127.6,Adulto,Adulto,Ativos,Ativos
0203-HHYIJ,True,Male,False,False,False,25,True,True,No,False,False,False,False,False,False,One year,False,Bank transfer (automatic),25.3,676.35,Adulto,Adulto,Ativos,Ativos
0206-OYVOC,False,Female,False,True,True,46,True,False,No,False,False,False,False,False,False,Two year,True,Mailed check,19.25,864.2,Adulto,Adulto,Inativo,Inativo
0206-TBWLC,False,Female,False,True,False,54,True,True,Fiber optic,True,True,True,True,True,True,One year,True,Mailed check,114.65,6049.5,Adulto,Adulto,Inativo,Inativo
0207-MDKNV,True,Female,False,False,False,15,True,False,Fiber optic,True,False,True,True,True,True,Month-to-month,False,Electronic check,105.1,1582.75,Adulto,Adulto,Ativos,Ativos
0208-BPQEJ,False,Female,False,True,True,12,True,False,No,False,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),19.4,198.1,Adulto,Adulto,Inativo,Inativo
0212-ISBBF,False,Female,False,False,False,22,False,False,DSL,False,True,False,False,True,True,Month-to-month,True,Electronic check,50.35,1098.85,Adulto,Adulto,Inativo,Inativo
0214-JHPFW,False,Female,False,True,False,70,False,False,DSL,False,True,True,True,True,True,Two year,False,Bank transfer (automatic),57.8,4039.3,Adulto,Adulto,Inativo,Inativo
0215-BQKGS,False,Male,False,False,False,30,True,False,Fiber optic,True,True,True,False,False,False,Month-to-month,True,Credit card (automatic),84.3,2438.6,Adulto,Adulto,Inativo,Inativo
0218-QNVAS,False,Male,False,True,True,71,True,True,Fiber optic,False,True,False,False,True,True,One year,False,Bank transfer (automatic),100.55,7113.75,Adulto,Adulto,Inativo,Inativo
0219-QAERP,False,Male,False,True,False,30,True,False,No,False,False,False,False,False,False,One year,False,Credit card (automatic),19.8,576.65,Adulto,Adulto,Inativo,Inativo
0219-YTZUE,True,Male,False,True,True,4,True,True,Fiber optic,False,True,True,False,False,False,Month-to-month,True,Bank transfer (automatic),84.8,371.9,Adulto,Adulto,Ativos,Ativos
0220-EBGCE,True,Male,False,False,False,2,True,False,Fiber optic,False,False,True,False,False,True,Month-to-month,True,Electronic check,85.85,167.3,Adulto,Adulto,Ativos,Ativos
0221-NAUXK,False,Male,False,False,True,10,True,False,No,False,False,False,False,False,False,One year,True,Bank transfer (automatic),19.95,219.5,Adulto,Adulto,Inativo,Inativo
0221-WMXNQ,False,Male,True,False,False,4,True,False,Fiber optic,True,False,False,False,False,False,Month-to-month,False,Electronic check,75.35,273.4,Idoso,Idoso,Inativo,Inativo
0222-CNVPT,False,Male,True,False,False,52,False,False,DSL,True,False,False,False,True,True,Month-to-month,True,Credit card (automatic),48.8,2555.05,Idoso,Idoso,Inativo,Inativo
0224-HJAPT,True,Male,False,False,False,5,True,True,DSL,False,False,False,False,False,False,Month-to-month,False,Electronic check,47.15,223.15,Adulto,Adulto,Ativos,Ativos
0224-NIJLP,False,Male,False,True,True,8,True,False,No,False,False,False,False,False,False,Two year,False,Mailed check,20.15,165.5,Adulto,Adulto,Inativo,Inativo
0224-RLWWD,False,Female,True,False,False,2,True,False,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,44.3,89.3,Idoso,Idoso,Inativo,Inativo
0225-ZORZP,False,Male,False,False,False,3,True,False,Fiber optic,False,True,False,False,False,True,Month-to-month,False,Electronic check,84.3,235.05,Adulto,Adulto,Inativo,Inativo
0228-MAUWC,False,Male,False,False,False,19,True,True,DSL,False,False,True,True,False,False,Month-to-month,False,Electronic check,59.55,1144.6,Adulto,Adulto,Inativo,Inativo
0229-LFJAF,False,Male,False,False,False,72,True,True,DSL,True,True,True,True,False,False,Two year,False,Bank transfer (automatic),69.65,4908.25,Adulto,Adulto,Inativo,Inativo
0230-UBYPQ,False,Male,True,True,False,63,False,False,DSL,True,False,False,True,False,False,One year,False,Bank transfer (automatic),36.1,2298.9,Idoso,Idoso,Inativo,Inativo
0230-WEQUW,False,Male,False,True,False,66,False,False,DSL,True,True,True,True,True,False,Two year,True,Bank transfer (automatic),56.6,3789.2,Adulto,Adulto,Inativo,Inativo
0231-LXVAP,True,Male,False,False,False,1,True,False,Fiber optic,False,False,False,True,False,False,Month-to-month,True,Electronic check,75.9,75.9,Adulto,Adulto,Ativos,Ativos
0233-FTHAV,False,Female,False,False,False,60,True,True,Fiber optic,False,False,True,False,False,False,One year,True,Bank transfer (automatic),79.2,4765.0,Adulto,Adulto,Inativo,Inativo
0234-TEVTT,False,Female,False,True,True,48,False,False,DSL,True,False,True,False,False,True,One year,False,Credit card (automatic),45.0,2196.3,Adulto,Adulto,Inativo,Inativo
0235-KGSLC,True,Female,False,False,False,1,True,False,Fiber optic,False,False,True,False,True,False,Month-to-month,True,Credit card (automatic),85.55,85.55,Adulto,Adulto,Ativos,Ativos
0236-HFWSV,True,Male,False,False,False,15,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,93.35,1444.65,Adulto,Adulto,Ativos,Ativos
0237-YFUTL,False,Female,False,True,False,50,True,True,Fiber optic,True,True,False,True,True,True,Month-to-month,True,Bank transfer (automatic),109.65,5405.8,Adulto,Adulto,Inativo,Inativo
0238-WHBIQ,False,Male,False,True,True,72,True,True,DSL,True,True,True,True,True,True,Two year,False,Credit card (automatic),89.7,6339.3,Adulto,Adulto,Inativo,Inativo
0239-OXEXL,False,Female,False,False,False,46,True,True,Fiber optic,True,True,False,False,False,False,Month-to-month,False,Mailed check,84.25,3847.6,Adulto,Adulto,Inativo,Inativo
0244-LGNFY,False,Female,False,True,True,72,True,True,DSL,True,True,True,True,True,True,Two year,False,Bank transfer (automatic),92.65,6733.0,Adulto,Adulto,Inativo,Inativo
0247-SLUJI,False,Male,False,True,True,1,True,False,No,False,False,False,False,False,False,Month-to-month,False,Mailed check,19.7,19.7,Adulto,Adulto,Inativo,Inativo
0248-IPDFW,False,Female,False,False,False,1,True,True,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,50.1,50.1,Adulto,Adulto,Inativo,Inativo
0248-PGHBZ,False,Female,True,False,False,67,True,False,Fiber optic,True,True,False,True,True,False,Two year,True,Bank transfer (automatic),92.45,6140.85,Idoso,Idoso,Inativo,Inativo
0253-ZTEOB,False,Female,False,True,True,48,True,True,DSL,False,True,False,True,True,True,Two year,False,Electronic check,79.65,3870.3,Adulto,Adulto,Inativo,Inativo
